,tweet,Label
167,       جاور من يزرعون الورد ويحافظون على المودة والعهد ويجعلون قلبك  ي زهر في ك ل نبضة   حياتي تبدو مثالية لأنني أملك اخوه و أصدقاء  مثلكم، صباح الخير.  ,💕
168,  الله يخليكم حق بعض    ,💕
169,  كل حاقه نفسي فيها في العيون دي شفتها   ,💕
170,  حبيبيي عمييي اجمعين يارب   ,💕
171,  اللهم امين    ,💕
172,  الحمدلله على نعمة الروح الحلوة الي تدور عالشي الحلو بكل شي الحمدلله عالعين المليانة الي لو شافت شي حلو بالناس تفرح لهم الحمدلله على الثقة بالنفس والتواضع وانك ماتستنقص أحد  الحمدلله على نعمة النفس اللينة السمحة الي مايهما تنافس أحد ولا تشيل على أحد الله لا يغير علينا يارب   ,💕
173,  اللهم امين ويحفظكم    ,💕
174,  عسى الله يلهي كل عين ود ها فيك   ,💕
175,  مابي احس انك عن الناس ت كفي ابي احس أني عن الناس م كفيك   ,💕
176,  اخيرا يا اخي الف مبروك يا روحي    ,💕
177,  على يق ين بأن الله سيرزقني ماي ناسب رقة قلبي  . ليله الجمعه  ,💕
178,  تستاهلين كل خير حبيبتي   ,💕
179,  ياربي تدوم أيامنا سوا ويبقى على طول جامعنا الهوى يارب تدوووووم يارب نعيد هالحب إللي كان وأحلى بكتيييير من المااااضي كمان   ,💕
180,       منورين    ,💕
181,  تسلميلي    ,💕
182,     تم    ,💕
183,  احا شكرا  انت  هم تموت    ,💕
184,    احلى شي     ,💕
185,  حبييييييييييت ماشاء الله    ,💕
186,         اموتفيج يا عيوني   ,💕
187,           يا جمالك   ,💕
188,  بعد قلبي   ,💕
189,  اللهم  بارك لي في عامي الجديد واجعل القادم من حياتي أجمل وألطف     فبراير  ,💕
190,  عشوائيات اليوم   ,💕
191,  يعافيج    ,💕
192,  بارك الله فيكم      ,💕
193,       آهخ نسمنمنمنمنم    ,💕
194,  لم يخلقك الله لتنال تقييما  من أحد، أو توهب أحدا  تقييما ، تقييم الناس مؤذي للروح... قي م الكت ب، والموسيقي، والهواتف، والروابط، وليس الناس..   ,💕
195,     سنين سعيدة و مليانه افراح و انجازات ياااررب    ,💕
196,  أحدهم لا يحادثك، لكنه يفكر بك أكثر مما تتصور    ,💕
197,  صبرا .. ان العسر يستصحب اليسر  ..   صالون تشرين  ,💕
198,           سنين العمر تطويني وأنا في عزتي هارون وكم أيوب في صدري شكا صبره واصراره    ,💕
199,  يوم الجمعة قد كان قلبا منصفا رحم الأنام وخففا ولهديه قلبي اقتفى وهو النبي المصطفى صلوا عليه وآله     اللهم صل وسلم  على نبينا محمد  ,💕
200,    فالحياة قصيرة جدا ، لا تستحق الحقد، والب غض، وقطع الرحم   . غدا  سنكون ذكرى  فقط، والموت لا يستأذن     ابتسموا، وسامحوا من أساء إليكم..    إهداء لكل عزيز وغالي  ,💕
201,           صدقتي وانا بعد  ,🥺
202,              دي حاجة كيوت اووي والله   خصوصا لو هو كمان بيحبهم كدة,🥺
203,                 امنيتي   ,🥺
204,               أن شاء الله  ,🥺
205,          يارب امين ومن قال  ,🥺
206,اذا كان مش أفضل المطربين بالنسبة لك راجع نفسك لان مستحيل  راشد الماجد محد يحبة أو أحد يكرها          :   .             ,🥺
207,          امين يارب العالمين  ,🥺
208,بصراحه كدا انا مش عايزه غيرك.   ,🥺
209,ربناا يكرمني واكون اسره كده .. ربناا يحفظهم              :   .             ,🥺
210,بليزززز وصلو لها  ,🥺
211,               تهبللل   ,🥺
212,                            فديتك تعال خاص  ,🥺
213,            ما تقنطيش من رحمة ربي، يفرجها عليك نشاالله  ,🥺
214, سرا الليل والنوم ماشرف  ,🥺
215,                 تبارك الله تحمست لسماع تلاوتهاااااا ,🥺
216,                التواء مفصل او تمزق اربطه المفصل قويه والله    التواء المفصل   ثلاث مرات   صارت لي وحده منهم بغيت انصرع من قوة الالتواء  الله يشفيه ي رب  ,🥺
217,            حبيبي انا اكثر  ,🥺
218,يارب متحطنيش ف اختبار انا مش اده يارب  ,🥺
219,                      يااااااااااااااارب افوز اللهم فرحة ردة فعلها سجدة يارب تكتب لي الحظ الجميل  ,🥺
220,الرقدة العوجه الي تحسس الواحد انها كانت ماترقدش بككل وين الكراع و وين اليد   ؟ بنتي روحت        :   .             ,🥺
221,             شويه  ,🥺
222,           د.مها فاروق   ده ياريت الواحد يتخصص احصا والله  ,🥺
223,انا دنيا من التعب راحتها بديك  ,🥺
224,         اتمنى من كل قلبي انج تسوين زين  ,🥺
225,            حبيبتي الله يبارك فيكي  ,🥺
226,يارب بكرا يوم حلو  ,🥺
227, وليد قشران وصلنا للإمارات        :   .             ,🥺
228,                                    يااااااااااااااارب افوز اللهم فرحة ردة فعلها سجدة يارب تكتب لي الحظ الجميل  ,🥺
229,          يرووح دندوون إنتي  ,🥺
230,            حسبنا سيؤتينا الله من فضله وانا اليه لراغبون  ,🥺
231,قمر ما شاء الله  ,🥺
232,         رايقه ايه بس بعد اللي عمله فينا موسيماني  ,🥺
233,ميسي رجع يجدعااان          :   .             ,🥺
234,تخيل الدنيا تخذلك وتقرر إنك تهرب وتروح للحاجة إللى بتحبها تقوم تخذلك هى كمان، الموضوع فى غاية الحزن والله  ,🥺
235,ليش ماتكتبون حقي شي في تيل احين  ,🥺
236,سحرتنى ولا سحرتلى  ,🥺
237,جمالو حبيبي انا                                             :   .             ,🥺
238,        مبرووووك حبيبي مستحقه والله ,🥺
239,        بعد عمري  ,🥺
240,                  يالطيف   المفروض ندعمه نفسيا  ونجيب لوحات ونكتب كلنا السومه عشان يرجع ، وبالمره نجدد عقده خمس سنوات زياده ونضمن له لما يعتزل نخليه مدرب للنادي   ياشيخ استريح بس ، لاعب سىء وانتهى ماعنده شىء يقدمه,🥺
241,يارب مش عايزه شهر   يجي  ,🥺
242,تمشي ونبضي يلحقك، أكثر من العشق أعشقك     كلام حب   مما راق لي,🥺
243,                   يااااااااااااااارب افوز اللهم فرحة ردة فعلها سجدة يارب تكتب لي الحظ الجميل  ,🥺
244,         انبسطت انا        :   .             ,🥺
245,         أمين انتي بجد نادره وحبيت اسميك في النادره بسبب اخلاقك العاليه  ,🥺
246,           ليش التشاؤوم  ,🥺
247,صحبتي اكتر حد بيفهم فيهم فاللهم       :   .             ,🥺
248,مش انت ي شناوي        :   .             ,🥺
249,           في الدنيا  ,🥺
250,العكس والله، يزيد  ,🥺
251,                            تدلل اسويلك هيك حبيبي   مفك,🥺
252,                    و عسى ربي يبارك فيكم أنتم كمان   افضل فريق و اخواننن يا صورام,🥺
253,دانا اضيع عمري ي عمري واحبك حب مش مشروط   ,🥺
254,بما أنو وقتي حيكون معاك فانا اسعد وحدا بالدنيا.          :   .             ,🥺
255,             مافي رد  ,🥺
256,            وانا جعلني م انحرم منك ومن لطافتك  ,🥺
257,          انت وينك  ,🥺
258,          المكابر صدق اكبر مشكله  ,🥺
259,               اجمعين يا بيب ,🥺
260,                 حصل  ,🥺
261,البنات جايبيين هدايا معاهم لما زاروني اليوم وانحرجت منهم واقلهم ليه تعبتو نفسك ومالو داعي وايش المناسبة قالو بمناسبة انو نحن نحبك   ,🥺
262,         والله تسيب مادري كيف صار كذا  ,🥺
263,صديقي العزيز     ويديمك يارب ويوفقك ف حياتك ي عيوووووط              ,🥺
264,             الله يا نوره الله    ,🥺
265,           ي رب تيشيرت من نصيبي  ,🥺
266,مبني الكلية بتاع محرم بيك وحشني جدا  ,🥺
267,جماعه انا بشربه من وانا عندي سنه بجد والله ولحد الان كل ما ابطله بسبب المشاكل اللي بتحصلي بسببه ارجعله تاني دا إدمان خلاص       ,🥺
268,           ان شاءالله  ,🥺
269,         احسني الوحيد الي يبرر مواقفه دايما  ,🥺
270,جامده  ,🥺
271,الجلد في جدة و الصياح في الرياض  ,🥺
272,              أنا ما طلعلي لا قلب ولا وردة ولا بوسة ولا لأيك وريتويت  ,🥺
273,           نفسي اجربها والله  ,🥺
274,            كنت اتابع مسلسل شابك بالتلفون  ,🥺
275,        وايييييي يابعد قلبي والله انا المحظوظه فييييج  ,🥺
276,         عادي ادري ان تعليقي زي وجهي جلطه اعتذر  ,🥺
277,            طاااايب براحتك يا بيبي   ,🥺
278,       ما ابي لا غنايم ولا شيء ابيه هو بس  .,🥺
279, البزنس   حسنة اليوم الدنفوس رجع يارب لك الحمد باقي وللنهائي ويختمها ب المركز الآول بأذن الله     ..,🥺
280,         طيب ,🥺
281,       اغار عليك منها  ,🥺
282,             خرجنا بالعب ده صعب بس مش بعيد ع ربنا بردو  ,🥺
283,ونرجع نقول : السعد باقي ويتمدد للنهائي بإذن الله     الميركه  ,🥺
284,دانا اضيع عمري يا عمري و أحبك حب مش مشروط     ,🥺
285,        الله يبلغك بقدومه وانت بخير وترجع سالم غانم  ,🥺
286,       اعوذ بالله  ,🥺
287,                          أيوة جدا معاكي حق من اكتر المواضيع اللي قناعتنا مش كفاية لدفع هوى النفس .. ربنا يثبتنا كلنا يا رب       ,🥺
288,               ابدا  ,🥺
289,من ضمن الحاجات اللي مبسوطه بيها اوي دهب خلتني احب كلاب وقطط الشارع واتعامل معاهم عادي  ,🥺
290, سبيس تيتشر نحن نجعل من الألم ذكرى جميلة وحياة   ,🥺
291,         واو راح اجرب  ,🥺
292,ياخي كنت ع الثبات وهزتني  ,🥺
293, الميركه   مااشفق الا على خليفه كل اسبوع يبكي سواء طلع او لا    ,🥺
294,                     :   .              هوه الإلقاء هوه الكلمات   ,🥺
295,             اللهم لاتجعلني أكسر قلب أحد ولا أظلم أحد  ,🥺
296,               عيطتي والأكل في بوقك؟ سامحيني بقى قلبك أبيض   ,🥺
297,اني واي بحب لما حد يلاقي الاكاونت بتاعي صدفة ويعمل لايك للتويتة المثبتة وأروح أقرأها تاني قال يعني ماقرأتهاش يجي    مرة قبل كدة  ,🥺
298,         أمين يارب   .,🥺
299,                 أنا فخورة اني صاحبتك و فخورة اني نعرف شخص قوي و قادر يتخطى جميع الظروف و العوائق   حتوصلي و حنفرح بيك و حتطلعي من السمستر هذا و اللي بعده بأحسن ما تبي,🥺
300,مصور نودر  جديده وما عندي احد اوريه من تبي تشوف      معصيتي راح تي ,🥺
301,يا حلو العوض  ,🥺
302,         محد يناوله  ,🥺
303,              ياريت  ,🥺
304,             اخ اكثر  ,🥺
305,              ينهار ابيض       اعتذريله والنبي انا الله يسامحني ومعلش ع العطلة دي يسطا  ,🥺
306,         نحبك   ,🥺
307,        افاا ليه  ,🥺
308,اللي يشوف فرحت الشباب برجعته يعرف ان سعد بالنسبه لهم مهم جدااااااا    .  الميركه  ,🥺
309,اضيع عمري يا عمري واحبك حب مش مشروط     ,🥺
310,          كلهم  ,🥺
311,         غاده  ,🥺
312,ابقي مدايقه وشايله هم الدنيا و روح اتكلم مع نيفين خمس دقايق احس بكل الحب الي ف الدنيا وان كل حاجه سهله                               ,🥺
313,           شوفي        :   .             ,🥺
314,           خافوا معاي ليش اخاف لحالي  ,🥺
315,           يارب الله يسعدك دنيا واخره انك تردين علي   هل محمد الحوت له مشاعر لريماس الاسد ؟؟؟ بارد هالفتره ولا يسولف وعلاقتنا سواليف وضحك,🥺
316,                             اي والله ماشاءالله تبارك الله   ,🥺
317,            يقبرني الحلو انا     ,🥺
318,          دربيه ويصير ، الخطه أنا أطق لمريام فارس باصبع  ,🥺
319,              الاثنين والله   والاثنين كارثه لو طولن مع الشخص,🥺
320,                ايش رايك بخريطتي  ؟ الكواكب الموجودة في بيت ال   علي ايش تأثر علي      :   .             ,🥺
321,حضننننن سددديننن فاللحظه ذي اججججملل شي   . مافي احنن منها,🥺
322,محتاجين نقابل الناس اللي بنحبها كفاية كلام في الشات بقي   ,🥺
323,ويجث  ,🥺
324,            يالله  ,🥺
325,على سيرة ان الع مر بيعدي بسرعه وكده، دي رود ينا بنت صحبتي من ابتدائي        :   .             ,🥺
326,ولا اي القصة حبيبي فيدني واللي اذوك ياما حبيبي سيبني انسيك ماضي كله دموع لا مقدرش اسيبك موجووع  ,🥺
327,الواحد كل ميتعافى من حاجة يلاقى خبطه فى دماغه تانى تتعبه و برغم السعى و المعافرة اللى الواحد فيها الا انه عمال يقع بعد كل خطوة بيتحركها و يقوم تانى بس الخوف ان ييجى اليوم اللى تيجى الوقعة اللى مش هقومنى تانى فربنا يسترها بقى  ,🥺
328,               والدمع زاد الكبت   في دايرة الرحله دروب لا تخلي آه ياحبيب عمري وصحبتي وقمري,🥺
329,هو انا للدرجه دى كتله معدومه المشاعر  ,🥺
330,انا بالي معاها مش ملكي  ,🥺
331,                 ترا والله وحشتيني ووحشاني القعده والسهر وياك ي طويله العمر.  ,🥺
332, سبيس تيتشر اشياء جميلة قاعدة تصير فالحياة         :   .             ,🥺
333, الميركه   ليله غير        :   .             ,🥺
334,         الكواليس لاهنتم  ,🥺
335,لنا حق كفله الدستور العراقي نظرا  لما جاء في المادة     التي تنص على تعيين الخريجين الأوائل بصورة مطلقة لا على تعيين الثلاث الأعلى معدلا   الاوايل يرفضون الاعلى معدلا  ,🥺
336,          قريبا يارب ,🥺
337,           نسافر  ,🥺
338,               كنتي قمرررر اووووي بجد وفرحت اني شوفتك جدااا حقيقي         ,🥺
339,            اسفه خلاص تغريد ملاحظه وجودي وضحكتني ف وسط حزني  ,🥺
340,         كل ما عرفتها اكثر خفت منها  ,🥺
341,            هدير الصورة بتقولك كفايه ايديت  ,🥺
342,عارف لما تبقي بتكلم حد بتحبه تبقي عايز تحطه ف سندوتش كدا و تأكله ,🥺
343,الاتنين  ,🥺
344,مين اصلا  قدر يكسر قلب وجوزه بجد  ,🥺
345,حفظ الله صديقا  ، ي راقب ملامحي ليطمئن  ..,🥺
346,و رشا هنا معاكو  ,🥺
347,             يسسسعد قلبك يارب  ,🥺
348,              وانت من اهل الخير حبيبي برهوم   والله يكون بعونك بكرا من جد دوام الاحد متعب   ,🥺
349,          والله انه تيني ام الركب بسببه ,🥺
350,            هل عندك شك انك احلا واجمل امرا في الدنيا  ,🥺
351,وحشني شعور أول يوم مدرسه  ,🥺
352,كونوا ملاذ اللطف   ، فالعالم مليئ بما يؤلم ، وسيئ بما يكفي .,🥺
353,       روعه ..  ,🥺
354,                 سردار مبدع  في مشاهد العائلة والإخوة ومتأكدة بأنه لم يخلق هذا الحدث إلا لمشهد  سي كتب لاحقا  ي ظهر فيه جمال أخو تهما الذي يتفو ق على كل العواصف مهما بدت عاتية  ,🥺
355,براحه ع قلبي المكسور ال مشكلتوا انه فيك مسحول  ,🥺
356,           عمري وقلبي  ,🥺
357,                          ايش اسم قناتها  ,🥺
358,                 الله حبيت  ,🥺
359,ايه العظمة دى بجد يوجوزة      ,🥺
360,ليشهد الله أنني لم أختر ح بك يوما  ولكن قلت لن يصيبنا الاماكتب الله لنا وأنت اصبتني   ,🥺
361,لك الله يا ابها  ,🥺
362,           وانتي طيبة يارب   ,🥺
363,أس ألك م الد عاء    .,🥺
364,  اللهم هذي اللحظة            :   .             ,🥺
365,اليوم بمعرض العطور شفت فاطمه المؤمن واختها صمود ما شاءالله تبارك الله يهببللون         :   .             ,🥺
366,          انا احبك  ,🥺
367,        فعلا   بس احسن بردو انهم خسرو,🥺
368,                   لا ي بنت الناس كلش ولا نفسك لا تبكين كل شي مقدر ومكتوب ابذلي الي عليك وباذن الله الله م يضيع مجهود احد الله يوفقك  ,🥺
369,سعيد محمد نور تلاوته تجيب الراحه يالله  ,🥺
370,خمس سنوات ولا زلنا  ,🥺
